GMT_timestamp,local_timestamp,link,calibration,id,,,,,,,,,,,,,,
2020-07-26_22:28:43,2020-07-27_10:28:43,https://www.testable.org/experiment/2590/264248/start,0.9,ella,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rowNo,test,type,trialNo,stim1,stimFormat,condition1,random,keyboard,key,ITI,counterTrial,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
103,motion_coherence,test,15,left_08,.mp4,0.08,1,"left right",left,1000,1,1001,60,16.68,416152,left,989,1
168,motion_coherence,test,80,left_04,.mp4,0.04,1,"left right",left,1000,1,1001,60,16.68,418520,right,1339,0
122,motion_coherence,test,34,right_28,.mp4,0.28,1,"left right",right,1000,1,1001,60,16.68,421113,right,1562,1
135,motion_coherence,test,47,left_08,.mp4,0.08,1,"left right",left,1000,1,1001,60,16.68,423208,left,1072,1
161,motion_coherence,test,73,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,425866,left,1627,1
160,motion_coherence,test,72,right_04,.mp4,0.04,1,"left right",right,1000,1,1001,60,16.68,428000,right,1108,1
102,motion_coherence,test,14,left_12,.mp4,0.12,1,"left right",left,1000,1,1001,60,16.68,430040,left,1013,1
99,motion_coherence,test,11,left_24,.mp4,0.24,1,"left right",left,1000,1,1001,60,16.68,432224,right,1161,0
128,motion_coherence,test,40,right_04,.mp4,0.04,1,"left right",right,1000,1,1001,60,16.68,434408,left,1157,0
114,motion_coherence,test,26,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,436386,left,950,1
123,motion_coherence,test,35,right_24,.mp4,0.24,1,"left right",right,1000,1,1001,60,16.68,438712,right,1291,1
147,motion_coherence,test,59,left_24,.mp4,0.24,1,"left right",left,1000,1,1001,60,16.68,440712,left,973,1
153,motion_coherence,test,65,right_32,.mp4,0.32,1,"left right",right,1000,1,1001,60,16.68,443024,right,1281,1
136,motion_coherence,test,48,left_04,.mp4,0.04,1,"left right",left,1000,1,1001,60,16.68,445362,right,1316,0
106,motion_coherence,test,18,right_28,.mp4,0.28,1,"left right",right,1000,1,1001,60,16.68,447656,right,1258,1
89,motion_coherence,test,1,right_32,.mp4,0.32,1,"left right",right,1000,1,1001,60,16.68,450298,right,1616,1
100,motion_coherence,test,12,left_20,.mp4,0.2,1,"left right",left,1000,1,1001,60,16.68,452568,left,1249,1
108,motion_coherence,test,20,right_20,.mp4,0.2,1,"left right",right,1000,1,1001,60,16.68,454872,right,1283,1
94,motion_coherence,test,6,right_12,.mp4,0.12,1,"left right",right,1000,1,1001,60,16.68,457288,left,1380,0
113,motion_coherence,test,25,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,459914,left,1604,1
104,motion_coherence,test,16,left_04,.mp4,0.04,1,"left right",left,1000,1,1001,60,16.68,462088,right,1142,0
109,motion_coherence,test,21,right_16,.mp4,0.16,1,"left right",right,1000,1,1001,60,16.68,464226,right,1110,1
125,motion_coherence,test,37,right_16,.mp4,0.16,1,"left right",right,1000,1,1001,60,16.68,466984,right,1734,1
115,motion_coherence,test,27,left_24,.mp4,0.24,1,"left right",left,1000,1,1001,60,16.68,469040,left,1035,1
